Experience Name,Experience Number,Total Time,User Clickes,HeatMap
Physics Concept,1,1.368624s,0,(3.9_ 0.0_ -2.4)(0.0_ 270.0_ 0.0)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
Physics Concept,1,46.90061s,0,(4.5_ 0.0_ -2.4)(0.0_ 0.0_ 0.0)(4.2_ 1.1_ -2.5)(75.5_ 153.8_ 357.7)(4.2_ 1.1_ -2.5)(75.5_ 153.8_ 357.7)(4.0_ 1.5_ -2.3)(8.5_ 184.1_ 6.1)(3.9_ 1.5_ -2.3)(334.9_ 169.4_ 9.3)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
Physics Concept,1,45.32141s,0,(3.9_ 1.5_ -2.3)(349.1_ 165.1_ 11.0)(3.9_ 1.5_ -2.3)(345.6_ 169.6_ 14.5)(3.8_ 1.5_ -2.5)(13.5_ 134.9_ 17.6)(3.2_ 0.5_ -3.2)(0.1_ 205.9_ 358.6)(3.2_ 0.5_ -3.2)(0.0_ 205.7_ 358.4)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
Physics Concept,1,8.058598s,0,(3.2_ 0.5_ -3.2)(0.1_ 205.9_ 358.4)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
Physics Concept,1,178.1428s,1,(4.1_ 0.5_ -2.3)(0.7_ 47.8_ 4.0)(3.9_ 0.5_ -2.4)(1.1_ 30.9_ 4.0)(3.9_ 0.5_ -2.3)(1.7_ 11.3_ 3.8)(3.8_ 0.5_ -2.2)(1.5_ 355.0_ 4.1)(4.3_ 1.5_ -2.5)(21.9_ 178.7_ 3.1)(4.3_ 1.4_ -2.5)(20.0_ 172.9_ 356.8)(3.2_ 1.4_ -1.8)(26.9_ 250.0_ 12.8)(1.2_ 1.3_ -2.2)(39.4_ 190.4_ 14.5)(1.8_ 0.9_ -1.4)(35.5_ 60.0_ 26.5)(1.5_ 1.4_ -1.3)(15.2_ 160.6_ 6.0)(1.5_ 1.4_ -0.9)(10.7_ 177.4_ 5.0)(1.3_ 1.4_ -0.9)(16.0_ 165.4_ 8.9)(0.6_ 1.4_ 0.4)(347.5_ 171.7_ 19.5)(1.1_ 1.4_ -2.2)(24.5_ 171.3_ 11.6)(1.1_ 1.4_ -2.2)(4.8_ 146.2_ 15.5)(1.1_ 1.4_ -2.1)(33.8_ 185.1_ 25.4)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
Physics Concept,1,13.71502s,0,(3.4_ 0.7_ -3.1)(58.4_ 145.2_ 291.5)(4.0_ 1.4_ -2.8)(16.6_ 133.3_ 8.9)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
Physics Concept,1,92.25793s,2,(4.1_ 1.4_ -2.6)(0.4_ 154.9_ 20.9)(3.6_ 1.4_ -1.8)(19.4_ 241.3_ 11.1)(1.2_ 1.4_ -1.7)(21.9_ 145.6_ 15.3)(1.8_ 1.2_ -2.8)(58.8_ 125.1_ 14.1)(1.6_ 1.1_ -2.5)(61.3_ 185.2_ 14.3)(1.7_ 1.4_ -2.2)(37.5_ 144.6_ 9.3)(2.0_ 1.4_ -2.3)(36.2_ 159.3_ 12.9)(0.1_ 1.4_ -2.5)(15.7_ 148.8_ 8.9)(0.0_ 1.6_ -3.2)(357.6_ 128.7_ 26.5)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
Physics Concept,1,48.92025s,0,(4.5_ 0.0_ -2.4)(0.0_ 0.0_ 0.0)(4.5_ 0.0_ -2.4)(0.0_ 0.0_ 0.0)(3.5_ 1.4_ -1.5)(32.9_ 210.0_ 13.7)(3.2_ 1.5_ -1.4)(18.2_ 229.1_ 12.8)(3.2_ 1.4_ -1.6)(24.3_ 160.7_ 14.8)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
Physics Concept,1,43.5764s,0,(4.5_ 0.0_ -2.4)(0.0_ 0.0_ 0.0)(3.9_ 1.5_ -2.2)(21.6_ 168.3_ 6.9)(3.7_ 1.4_ -2.0)(46.6_ 234.4_ 9.4)(3.8_ 1.4_ -1.8)(33.0_ 230.1_ 12.0)

Experience Name,Experience Number,Total Time,User Clickes,HeatMap
